Ensembl_ID	TCGA-CC-A8HS-01A	TCGA-RC-A6M5-01A	TCGA-DD-A119-01A	TCGA-DD-A3A9-01A	TCGA-DD-A1EJ-01A	TCGA-BW-A5NP-01A	TCGA-DD-A4NA-01A	TCGA-DD-A1EK-01A
ABCC4	1.020835006	0.736916716	0.966295809	0.315578759	1.108891355	2.368841422	1.271425748	1.749946619
ABCC5	1.649828481	1.121668862	0.628922726	0.88065709	1.922471917	1.259677587	2.267353357	0.844164168
ABCC6	3.931166536	4.359030167	2.901787693	3.246423116	4.397658897	2.615566968	1.775364731	3.213390352
ABCC9	0.640047401	1.64329265	0.306696367	0.253535498	0.445148667	0.501910085	0.2588021	3.282699156
ABCD1	3.298237223	2.60080745	2.435345024	3.271771617	3.182444593	3.202347354	1.800154121	3.190364904
ABCD3	5.082671649	2.810965357	3.188609992	2.257678863	4.900984553	3.432459045	4.128060115	3.759515937
ABCD4	1.873797151	1.798928952	2.136088035	2.138037866	2.611740748	2.167994914	2.534974364	1.94934264
ABCE1	2.956045148	2.608100448	2.591472512	2.120958724	3.260292519	2.983564868	3.428961173	2.323619573
ABCF1	4.246361901	3.685654846	4.79167675	4.677401672	4.418505916	4.66620573	4.197301177	4.003319737
ABCF2	3.035193164	3.138134966	2.585273077	3.100227594	3.640664194	3.256867058	3.733460672	2.689520961
ABCF3	3.715058868	3.240964294	3.404245361	3.628727995	3.904691478	3.227240442	3.579289721	2.993121291
ABCG1	1.503604311	2.438774258	1.021675065	2.93906818	0.928983603	1.809091589	3.659163549	1.747994068
ABCG2	0.670393873	1.680463754	1.552988602	1.00596936	0.479217145	0.372734357	0.803332476	1.302889496
ABCG5	4.829003759	2.836029108	2.629688779	0.336633642	3.116364366	0.508546912	0.041840612	2.015385099
ABHD1	0.424420757	0.121892279	0.130603585	0.091790777	0.391107097	0.34055201	0.033712328	0.585148574
ABHD10	3.530431115	2.702344406	3.237047551	3.149686496	4.144991925	3.574185871	2.912332475	3.476389356
ABHD11	3.096618538	1.718435076	2.793551019	2.601291723	2.712772256	2.549565012	3.661382704	2.596559783
ABHD12	4.635704575	3.807640525	4.150551625	5.523455595	4.487781861	4.644605019	4.627872482	3.795710018
ABHD13	3.30451163	1.294483974	1.534603751	1.075206572	2.533609694	2.48762209	1.566488808	1.961730856
ABHD14A	2.482749111	2.56038682	2.868521022	3.186438279	3.914527239	2.864057696	1.467065978	3.567040199
ABHD14B	3.892543961	5.560394881	6.055802149	4.829335867	5.86414308	4.923331992	4.779126268	5.489571515
ABHD15	3.988819284	0.949314018	2.549611893	3.13091677	1.871352573	2.241900258	2.705103076	3.294137621
ABHD16A	1.151371484	1.573899314	0.512924029	0.805760782	1.119060668	1.543138289	1.586515258	0.70630267
ABHD17A	2.76935707	2.069244162	1.911946346	2.455174191	2.047334717	2.232276403	2.274906083	1.748330052
ABHD17B	2.691610943	2.353857686	2.10599729	1.743936816	2.501896112	2.908523904	2.561140164	2.114468692
ABHD17C	2.077768271	1.609617639	1.328793079	1.374795492	0.486364663	2.700860675	3.094267648	1.433245906
ABHD2	2.342889336	4.779217154	3.118735385	3.971007146	4.103256735	3.285459414	5.198622696	3.951101141
ABHD3	4.887076601	1.859399138	3.266729324	2.900883655	5.2302359	3.646949644	4.317449087	3.623310245
ABHD4	2.91274207	3.681509629	3.568543225	3.501253195	3.590022786	2.908733955	3.66110825	2.980402501
ABHD5	1.665576737	1.538794478	1.556805777	1.510585575	2.311095123	2.062304278	2.355637712	2.520607818
ABHD6	3.145178836	3.015500418	2.597498689	2.887203948	4.939356694	3.217679361	0.850541611	4.273343729
ABHD8	3.502348017	2.580094269	2.315684143	2.002927191	4.026347776	3.033243536	2.07427701	4.286114498
ABI1	3.613882075	2.794232701	2.943188777	3.316448365	3.14996995	3.867064281	4.364747185	3.108538085
ABI2	1.806009224	0.793096931	0.384661878	0.851630159	1.251998398	1.61307784	2.186171951	0.526674228
ABI3	1.394740905	2.250558021	1.512591854	2.77175826	1.638005887	0.800708872	1.891960938	1.283136778
ABI3BP	0.116129176	1.394441068	0.313943049	0.377209653	0.10762505	0.199235424	0.104048745	0.997594778
ABL1	4.22553273	3.20436903	1.781487604	2.347159197	2.930334336	3.551629927	3.588463966	2.212134029
ABL2	1.796199902	1.323543537	1.623883377	1.395385692	1.257366878	2.320280071	1.851712093	0.656058397
ABLIM1	2.223547191	3.472209347	1.39076735	2.698509762	2.778987948	3.407403331	4.776339567	2.759589546
ABLIM2	0.059983324	2.006632217	0.443182344	1.07710061	0.153214992	0.850660707	4.026321839	0.503874033
ABLIM3	1.551492488	3.294438651	3.225586812	3.366333223	2.895032573	2.49030763	3.23246229	3.164209944
ABR	1.511686359	2.013255332	0.496283216	1.319319786	0.648244108	0.763219146	3.890153859	0.821246332
ABRACL	1.985632364	2.753474184	2.256314592	2.173851305	1.625094428	0.965550373	2.639242044	3.178624382
ABT1	3.836645435	3.014438821	3.561944381	4.025610523	3.711652192	4.530560336	3.407055875	2.883363952
ABTB1	2.194629935	2.047100624	2.219223635	2.820979297	2.637041645	1.797170857	2.191051944	2.061586134
ABTB2	2.227620071	1.774576088	1.315364053	1.538406703	2.505481813	1.580245105	1.969601382	2.581309204
ACAA1	3.969041533	3.908000854	3.439563807	4.325543492	6.11816581	4.196107687	2.045149415	3.987202874
ACAA2	4.61801909	4.728554245	5.275499416	3.696383495	5.95073893	3.887908621	4.950823705	6.808032707
ACACA	2.768150724	1.501251148	1.405082313	2.056558604	3.542246786	2.348437817	2.162956727	2.475061151
ACACB	3.676573484	2.693808579	1.678777422	1.369971337	1.368424502	1.325567252	2.717996426	3.973468453
ACAD10	2.589184204	2.584809094	2.355574637	1.985662774	2.777620729	1.492786675	2.874748459	2.946292274
ACAD11	0.512170024	0.218158658	0.041234705	0.090977763	0.68146323	0.158980927	0.107246299	0.703896704
ACAD8	2.627263225	1.910561286	2.162849613	1.863021715	2.155207723	1.858867799	2.87177475	1.917199901
ACAD9	3.625337975	3.114242598	3.252987156	3.435740354	4.0912863	3.070173413	2.999097474	3.071366849
ACADM	5.031607722	3.250612169	3.582983587	2.72753783	5.843299184	3.433092651	4.489523605	5.060342695
ACADS	4.442114991	5.184491238	5.029633999	3.85106521	5.246207873	4.203191528	4.46351034	5.143989984
ACADSB	5.177849894	5.366107523	4.465541549	3.213089562	5.711863117	5.989548791	2.042971143	5.680163169
ACADVL	6.645309404	6.541497911	5.303948909	5.181222857	7.149647159	6.188453658	6.195343999	5.772554082
ACAP1	0.60044944	0.429695964	0.365346079	0.938340623	0.341812272	0.257007802	0.815303618	0.412705452
ACAP2	1.80511646	1.452518926	0.996160156	1.355775873	2.198152689	2.061279889	2.460603702	1.561317426
ACAP3	1.966408566	1.870064982	1.326862654	1.935035387	2.346186466	1.452077215	3.303732651	1.946489383
ACAT1	5.173357904	5.531245292	5.538596095	5.747756676	4.863577433	5.067697414	5.271610211	5.620789299
ACAT2	3.783814977	2.796032083	4.335503671	3.918357885	4.909642198	3.366367075	2.262508535	2.898976691
ACBD3	4.003275502	3.29435024	3.699360077	3.46584818	4.269118919	4.566415918	5.501289042	3.866497802
ACBD4	3.033211323	3.317326917	3.567211413	3.399289369	3.355990213	2.518846939	2.603613519	3.670663173
ACBD5	3.2343858	3.292745032	3.587789544	3.519482618	3.051468595	2.796364723	5.300900101	3.957221459
ACCS	1.945016772	1.924907697	1.729220632	0.57024352	1.204798757	0.480857043	0.903475874	0.692915273
ACD	1.966522928	1.917054568	1.753038348	2.326959855	2.431118789	1.908767353	2.169377697	1.502352475
ACE	1.113719212	1.169894285	0.67298953	1.650796469	0.387239334	0.321786434	0.760066136	1.17990902
ACER3	1.652869073	0.794583191	0.984552718	0.908857169	1.148869502	1.286308573	1.469871803	1.266182418
ACHE	0.370192141	0.753500906	2.006459153	0.37514431	0.29230252	0.106499537	5.178996119	0.458063901
ACIN1	4.431333979	2.942325626	2.596539399	2.78807985	3.771140935	3.711026826	3.862755952	2.704891954
ACKR2	0.536048163	0.830207147	0.583043583	0.039569615	0.642519974	0.342398883	0.620200389	1.576929576
ACKR3	3.755988639	6.522448358	2.706880523	2.344690716	2.847926967	3.14158107	2.453187029	4.837847225
ACLY	4.456082438	3.860940385	3.581809994	4.148646711	5.699045217	4.356006765	4.936255451	4.544210736
ACMSD	3.809881889	5.120095834	4.27093407	2.480030707	1.57212983	2.044043239	3.064062523	4.620946091
ACO1	4.239598975	5.060183605	4.07156681	3.642816427	3.846794225	3.836167231	3.9218135	4.526427185
ACO2	4.367511733	5.224927859	2.367805048	4.03965655	4.707166528	3.727013994	5.966738076	4.847470146
ACOT1	1.827224023	2.457016603	3.359281938	1.837771073	3.818341028	1.859233761	1.359310843	2.613085684
ACOT13	2.848957209	3.168173651	3.859151955	3.776830603	3.568928482	3.931183785	2.782277712	3.575678045
ACOT2	2.379380662	3.46864767	4.143019666	3.181256628	4.497417997	3.11680163	2.714916176	3.83814776
ACOT4	1.122889275	2.175076516	3.439830242	1.066636964	2.09990168	2.054504499	1.879809366	3.651415946
ACOT7	3.388941138	2.779546511	2.340419697	2.894823251	2.650069049	2.01008735	2.319154088	3.122208678
ACOT8	3.346051324	2.217822236	3.202352218	3.783256058	3.062359047	2.068011738	2.761540164	2.363228304
ACOT9	2.020690109	2.188810445	2.18128264	2.232165983	2.368433452	1.999555893	3.521710347	1.635733266
ACOX1	3.585653539	4.247723919	3.677331024	4.474962321	5.226030748	2.639150939	3.905007348	4.404707802
ACOX2	3.921983088	3.896183773	4.530816399	3.524211541	4.914617359	3.189050417	0.191350517	4.25147072
ACOX3	2.832019967	2.639018122	1.732966483	2.49220678	2.771510472	1.526707988	2.775893958	2.77470919
ACP1	5.15632236	3.501973678	4.02095582	4.648202994	4.740386507	4.974702433	4.987789328	3.665713399
ACP2	5.657385344	4.206086567	4.165211142	4.675962996	5.21301741	3.894393135	4.979823935	4.663174398
ACP5	4.616450764	2.471690425	4.999613903	3.882654599	5.733217669	4.733581307	2.604782713	6.944236902
ACP6	2.126213546	0.635935099	1.960383497	1.205432277	1.564451818	2.186538254	0.467683234	0.891853401
ACRBP	0.354464945	0.339209479	0.510302968	1.32944268	0.443353094	0.910538826	0.628044748	0.973953155
ACSF2	3.499608701	2.586107957	3.298893595	3.297125422	3.422366983	2.527183634	0.899547498	3.666712747
ACSF3	1.121623204	1.92495788	1.766966051	1.83694068	2.170632719	1.138391549	1.842170317	1.758594606
ACSL1	5.590869251	5.084188664	5.273124626	3.395235392	1.105077646	5.235721766	4.248182697	7.506403056
ACSL3	4.220131564	2.82557542	2.912941043	4.027398524	5.155850031	4.726565382	4.345032064	3.656141299
ACSL4	4.705782011	1.932382557	5.714032695	5.966522541	6.543355732	6.87149244	6.093708144	3.322922615
ACSL5	3.145805361	3.933222466	4.116527722	1.739288739	5.780633306	3.722126258	1.415108713	3.243142627
ACSL6	0.350007902	0.102896969	1.001238596	0.399193832	0.300146965	1.625773955	0.05981644	0.164729735
ACSM2A	2.260034197	3.178220073	4.959745205	2.274904219	2.184314584	1.128434138	0.022314883	4.642236268
ACSM2B	2.792537122	3.713276888	5.546393428	4.06259333	2.906562954	1.701948699	0.016042498	5.592591263
ACSM3	0.777425903	1.562132739	0.497017472	0.111761186	3.218341692	0.487463139	0.180082921	1.595103813
ACSM5	0.638027686	3.053985163	2.92870444	0.925281872	3.30642753	0.892599093	0.232586313	4.833273465
ACSS1	3.105371727	0.899383248	1.035280064	1.132498868	0.623133421	0.739954564	3.750036359	1.468534782
ACSS2	3.673464385	2.949693074	4.530963464	3.384681547	4.086323993	3.09494069	3.858432101	4.271815941
ACSS3	0.565937055	1.880879479	2.519953157	0.105620984	3.261934141	0.099235657	0.258776644	2.429545431
ACTA2	5.623743139	5.265748711	4.849014654	6.591055955	3.527528373	4.118689225	5.50737491	4.629735501
ACTB	9.077258037	8.977004792	9.595115565	9.793226893	9.854963909	8.984988743	9.943274796	9.906032759
ACTG1	9.232611119	8.330209522	9.118102435	9.802778895	9.383949373	9.242850218	9.425122227	9.236569929
ACTG2	2.600524681	1.030150589	0.560564165	1.604473746	0.331912251	0.488668927	2.277679934	2.54054589
ACTL6A	4.027610207	2.181798273	2.214408209	2.709119221	3.687467518	3.795685828	2.828083713	2.169321611
ACTN1	2.843741011	3.894942841	2.992465975	3.819861618	4.260521839	3.89143867	5.715942607	3.796663146
ACTN4	6.943668211	5.259554564	4.122480342	5.566941758	5.638206396	5.708862184	6.483801042	5.605996911
ACTR10	3.181857989	3.024404372	3.584646206	3.196159536	3.241895141	3.730561512	4.020721536	2.993223904
ACTR1A	4.348547994	4.463731474	4.105461345	5.144164359	4.525709593	4.273821191	5.046894378	4.129648095
ACTR1B	4.649255251	4.034747817	3.898977849	5.046453151	4.824705048	4.599657415	5.368697168	4.027239709
ACTR2	5.733711194	4.317785863	4.542986563	4.664435622	5.632265268	5.471391043	6.493960635	4.829145599
ACTR3	3.386496915	2.481258873	2.864972078	2.984228091	3.281535635	3.73067745	4.165767117	2.849103205
ACTR3B	1.109769876	0.707785822	0.756004106	0.86859221	1.290579558	1.514251218	0.87410227	0.977432298
ACTR3C	0.601016809	0.597206637	0.667715234	0.633701974	0.491916973	0.323843732	0.770660023	0.532360034
ACTR5	2.202964797	1.377118348	1.461051602	2.999306021	2.050320105	1.553980996	1.574033048	1.525804026
ACTR6	3.496665628	1.612907925	2.679767629	1.9010686	2.493438824	2.462568328	2.514248587	1.635613513
ACTR8	2.53344382	1.351733479	1.472886757	1.426770688	2.743676332	2.301016804	2.038971254	1.431411067
ACTRT3	0.75111997	0.540175455	1.254444257	0.823200126	1.466718999	0.715051474	1.190942275	0.720933417
ACVR1	2.853392487	2.496450086	1.899338802	3.189644601	3.515102972	3.659579592	4.501493831	2.849397644
ACVR1B	3.79626334	3.272160902	2.235863655	2.802280771	2.80223411	2.84882597	5.463134023	3.462264578
ACVR2A	2.282720328	1.06824159	0.864578394	0.715289061	1.527124778	1.936918568	2.686068416	1.271250334
ACVR2B	1.08685781	0.434032466	0.397211129	0.531779891	1.628619083	1.581937842	0.517102342	0.25353763
ACVRL1	1.849135706	2.875578363	1.638970628	3.012453716	1.045151774	1.232980429	1.828645773	1.920351102
ACY1	2.297258451	2.139969242	1.981542234	1.90735802	3.340643911	1.218452946	1.420755617	2.66234134
ACY3	4.108331805	3.030945464	3.726066168	2.848012552	0.053690535	0.237137291	2.464402026	3.55599555
ACYP1	1.231684759	0.786473807	1.030362937	1.01068818	1.059605482	2.136328434	1.85844003	0.703966831
ACYP2	1.36858225	1.925604255	1.466676108	1.768552237	1.028673743	1.020980672	1.869313873	1.346209489
ADA	2.079476806	2.088579902	1.959981348	2.21212919	2.011923423	1.249807949	0.951562919	1.763260993
ADAL	0.625436539	1.4209274	0.478405983	0.888367375	1.189118066	1.070237352	1.365243604	1.081249151
ADAM10	2.834904497	2.235810565	1.845407079	2.932433301	2.565563188	3.133328371	4.037372854	2.084706969
ADAM15	3.543631999	4.090891976	3.271916141	4.13730512	2.882973186	3.091583635	5.17228061	3.746182472
ADAM17	1.796930359	1.3695821	0.290469769	0.646885847	1.872482174	1.513245407	3.671146841	1.204152998
ADAM19	1.12837435	1.604010515	0.688988471	0.980319829	1.120395954	0.693176492	1.591171626	0.970934634
ADAM8	1.572584458	0.502961827	0.502662782	1.0291465	1.516683236	1.178407683	2.459435505	1.507949373
ADAM9	1.805330249	2.038790483	1.178819543	2.229435747	2.432793669	2.149616412	4.968329412	2.50497852
ADAMTS1	1.760248182	3.345468657	1.914250154	2.009605774	0.820426831	1.176093911	3.126175941	2.068762504
ADAMTS10	2.139869691	2.00616077	0.753527064	1.528912267	1.008087064	1.028583042	4.030580825	0.887104853
ADAMTS12	0.259392676	0.51631628	0.189294917	0.635283538	0.297917689	0.076986304	2.164041678	0.295347284
ADAMTS13	2.093988726	0.580220751	0.590698331	0.859579992	1.339506425	1.058611901	1.231940974	0.251499496
ADAMTS15	0.048167288	1.419149666	0.223485536	0.716660318	0.076292328	0.083838242	2.277849399	0.519265098
ADAMTS17	1.73172863	0.810900557	0.720365763	0.106270575	0.642170509	0.396670275	0.339855388	2.504254572
ADAMTS2	0.806432964	2.083080617	1.693880097	2.212429372	0.589735777	0.357510287	2.235612512	0.93122709
ADAMTS4	1.293764135	1.062999364	0.853269048	0.985266951	0.826930826	0.567864822	1.550730936	1.754322353
ADAMTS5	0.682530947	1.063802378	0.286895403	0.653849655	0.594815094	0.718163723	0.943128222	0.81076731
ADAMTS7	0.957005955	1.015485302	0.328133437	1.141245913	0.409687512	0.449071135	1.053980546	0.54152662
ADAMTS9	0.849203401	1.278513243	0.413634479	0.984373542	2.30258354	1.306675299	3.957354694	1.323324156
ADAMTSL2	1.332913105	2.600583951	2.968610192	4.390857958	1.33959984	1.335766845	4.082270416	0.706279003
ADAMTSL3	0.480181093	1.146391111	0.671012081	2.487000269	0.152087917	0.303858189	0.551630367	2.161641414
ADAMTSL4	3.331486688	1.263660228	1.465705147	4.616020939	1.322002467	2.371460491	1.139255869	4.179017124
ADAMTSL5	0.050217532	1.058470492	0.79594079	0.116238003	1.592567595	0.312069892	2.436660462	2.011267533
ADAP1	1.558123029	0.268667737	0.143681578	0.466731084	0.178182046	0.684400601	0.770971376	0.41300745
ADAP2	0.842564072	1.195001109	1.05805784	1.550511764	1.882852257	0.785872198	2.228907396	2.111373939
ADAR	5.571212162	4.171399766	4.74991785	4.826552231	4.801464975	5.807027965	5.259059175	4.902908343
ADARB1	2.015689235	1.842270993	0.529722385	0.919791075	0.639286072	0.743724801	1.082046677	0.690358905
ADAT1	1.726349305	1.84809595	1.445516954	1.559175588	1.539231131	1.249699515	3.415651272	1.585820284
ADAT2	1.444118129	0.675676682	0.221066889	0.381606997	0.890319123	0.648650561	0.341405441	0.153134014
ADCK1	0.40271041	1.551423388	1.546842902	1.562237588	1.321647491	1.060242654	1.674738251	1.895323987
ADCK2	3.381027027	2.504024074	3.131295441	3.33824675	3.947628099	3.628105831	3.678030385	3.174938987
ADCK5	2.401828245	1.847757332	3.209914503	1.779223649	2.281091546	2.812851686	1.59901599	1.503712189
ADCY1	0.449291336	0.466500413	0.128583359	0.403539292	0.948533367	0.218757521	1.687452036	0.990470492
ADCY10	0.397497282	0.502682388	0.240778877	0.735794433	0.722789139	0.397476429	0.075181732	0.429158305
ADCY3	1.114861797	2.112676696	0.336295178	0.958417124	0.561684667	0.458933571	1.417619606	0.635918115
ADCY4	0.818857861	1.780148495	0.431838469	1.573735542	0.257648897	0.477142346	0.589127806	0.310586776
ADCY5	0.409265472	1.06832628	0.309141587	0.788433329	0.070385351	0.728031855	3.351557409	0.300660704
ADCY6	3.055849306	2.015363051	0.851356391	2.142442609	2.851717926	2.654880702	4.162008555	1.73892756
ADCY9	2.086729453	2.769500466	1.42604491	2.018557007	2.462402339	1.729602661	5.080994642	3.071757831
ADD1	3.749415496	3.725131525	2.685049751	3.740514386	3.474339196	2.965860763	3.961663484	3.416962652
ADD3	4.528616484	2.609459227	1.006357911	1.239873353	3.905584177	3.135340438	2.394064266	1.611505861
ADH1A	4.997903609	6.475651124	7.246326932	7.877311844	6.331672558	6.951697008	3.325560417	6.678252245
ADH1B	4.800555613	7.578872879	7.439355299	5.864939863	6.437099457	4.828940458	2.404744208	7.63346766
ADH1C	4.717653088	8.545451649	5.879322816	5.605918233	3.03240625	0.37601539	3.927225701	8.521123692
ADH4	1.15145198	7.456423754	7.014710694	7.127416559	3.943696191	4.422947142	0.408443015	6.658049999
ADH5	5.244400878	4.918872311	5.343580552	5.033559922	4.761133577	5.467346329	3.064145196	5.282594929
ADH6	3.72248894	4.674838542	4.373269158	5.015537394	4.959373217	4.551652049	0.831353194	4.998486956
ADHFE1	3.281784036	2.723724256	3.414291015	0.583263436	1.92466099	1.983205559	0.802705144	2.666800195
ADI1	5.45020792	5.068769211	7.267980229	5.99390004	4.223921475	5.197889291	4.306151185	5.919971799
ADIPOR1	5.600072854	5.040898213	5.67436949	6.374608812	5.384800291	5.745954823	5.839708487	5.508580353
ADIPOR2	4.232345025	4.629329026	3.358205567	4.256301991	4.893017364	3.831498643	3.834801139	4.550997141
ADK	4.175129589	3.662342019	3.84216975	3.10681506	2.988321174	4.509440284	3.799801278	4.467956444
ADM	1.64060936	1.724505703	1.965432647	2.410420595	4.164607971	1.773502331	5.824583108	3.3154665
ADNP	4.88497465	2.681773136	2.228447564	3.197466832	3.415585135	3.329108735	4.306176733	2.92559866
ADNP2	3.458139601	1.162726389	1.183807915	1.084565778	2.120306633	2.132999693	3.541875913	1.585465368
ADO	3.136557402	1.945788294	2.054807633	2.680070715	2.307820622	3.040166063	3.183239172	1.750655215
ADORA2A	1.271276824	0.196637507	0.335216711	0.308409162	0.923241276	0.221775253	0.131885902	0.602655011
ADORA3	0.131469461	0.180131395	0.467825264	0.629706328	1.236953055	0.152518187	0.835860407	1.764207381
ADPGK	2.58952385	2.372852941	1.198134275	2.031367495	2.753345738	2.922499061	2.9121668	1.67600328
ADPRH	1.252085755	1.261924678	0.746140379	1.278809971	1.367789694	0.739590149	0.850010096	0.521303445
ADPRHL1	2.045171939	0.307501138	0.559900701	1.088905048	1.813384986	1.588895124	0.438237644	1.100498661
ADPRM	2.064748797	2.300085159	2.377800721	3.133926538	1.744367214	2.865104908	1.721344117	1.218752344
ADRA2B	0.445572687	0.740400048	0.599446557	0.262779587	0.135797723	0.466314488	0.16229661	0.300227551
ADRB2	0.16904168	0.49608816	0.899469742	0.105302658	1.578412053	0.963146103	0.159083028	1.0260302
ADRM1	5.94962286	5.330606948	5.634730002	6.659449073	5.924414958	6.249610397	5.447803041	5.497775699
ADSL	3.935673772	2.369434397	3.255822689	3.554687504	4.629026282	3.909479295	3.111865677	2.808262357
AEBP1	2.301649043	5.07594669	4.434162132	5.30267939	1.338841837	2.296294851	4.262215505	2.165531004
AEBP2	1.937230962	1.081059708	1.254063361	1.418301042	1.407041783	2.209014437	2.120332344	1.433393665
AEN	1.091407771	1.916749034	1.715514085	1.95367787	3.460883373	2.676044932	3.007094883	2.728384212
AFAP1	1.522155398	1.552620205	0.457729551	1.363881302	1.103857339	0.822939222	1.93133976	0.480871646
AFAP1L1	2.104340333	2.474013738	1.0540732	2.001805498	1.268748424	1.675739016	1.51931877	1.148197854
AFAP1L2	0.938686353	0.635278554	0.250299646	0.459732292	0.162475322	0.271145361	1.791339898	0.371742948
AFF1	2.580792264	2.328407247	1.383724417	1.430953498	1.472493825	1.950325456	3.974738143	3.143409239
AFF4	2.422941877	2.549137443	2.475421357	3.067433618	3.421234855	3.129882937	4.285006755	3.078791755
AFG3L2	3.626377975	2.54882459	3.088002221	2.503456499	3.061490455	2.534890161	4.480320901	3.223022932
AFMID	5.022262989	5.23473436	4.496112482	5.271358207	4.681164079	3.972766129	3.01685598	4.274573234
AFTPH	3.309912879	1.757880005	2.427715366	2.642451573	2.879948659	3.516364177	4.027555518	2.27609987
AGA	2.204151715	5.361982127	2.519919263	3.281345564	3.163556959	2.559586485	4.081120477	3.271657896
AGAP1	1.685168369	1.079072036	0.939629476	0.967253208	1.260929243	1.921488419	2.389600126	1.036202194
