Pathway	Gene	Correlation
Steroid biosynthesis	LIPA	1
Steroid biosynthesis	NSDHL	1
Steroid biosynthesis	LSS	1
Steroid biosynthesis	MSMO1	1
Steroid biosynthesis	EBP	1
Glycerolipid metabolism	LIPC	1
Glycerolipid metabolism	ALDH1B1	1
Glycerolipid metabolism	MBOAT2	1
Glycerolipid metabolism	ALDH9A1	1
Glycerolipid metabolism	DGKA	1
Glycerolipid metabolism	LPL	1
Glycerolipid metabolism	MGLL	1
Biosynthesis of unsaturated fatty acids	HSD17B4	1
Biosynthesis of unsaturated fatty acids	SCD	1
Biosynthesis of unsaturated fatty acids	ACOT1	1
Biosynthesis of unsaturated fatty acids	ELOVL6	1
Biosynthesis of unsaturated fatty acids	SCD5	1
Biosynthesis of unsaturated fatty acids	ACOT2	1
Purine metabolism	PRPS2	1
Purine metabolism	AMPD2	1
Purine metabolism	AK3	1
Purine metabolism	NPR2	1
Purine metabolism	PFAS	1
Purine metabolism	PPAT	1
Purine metabolism	GUK1	1
Purine metabolism	PAICS	1
Purine metabolism	PDE3B	1
Purine metabolism	ENTPD2	1
Purine metabolism	PDE6B	1
Purine metabolism	NT5C3B	1
"Glycine, serine and threonine metabolism"	GCSH	1
"Glycine, serine and threonine metabolism"	DMGDH	1
"Glycine, serine and threonine metabolism"	SHMT1	1
"Glycine, serine and threonine metabolism"	GLDC	1
"Glycine, serine and threonine metabolism"	GAMT	1
"Glycine, serine and threonine metabolism"	PGAM1	1
"Glycine, serine and threonine metabolism"	PIPOX	1
"Glycine, serine and threonine metabolism"	ALDH7A1	1
"Glycine, serine and threonine metabolism"	SRR	1
"Glycine, serine and threonine metabolism"	GLYCTK	1
"Glycine, serine and threonine metabolism"	BPGM	1
"Glycine, serine and threonine metabolism"	SARDH	1
"Glycine, serine and threonine metabolism"	CHDH	1
"Glycine, serine and threonine metabolism"	GCAT	1
"Glycine, serine and threonine metabolism"	BHMT	1
"Glycine, serine and threonine metabolism"	MAOB	1
Arginine biosynthesis	GLUL	1
Arginine biosynthesis	ASL	1
Arginine biosynthesis	GOT1	1
Arginine biosynthesis	GOT2	1
Arginine biosynthesis	GPT	1
Arginine biosynthesis	ASS1	1
Arginine biosynthesis	ARG2	1
Tryptophan metabolism	DHTKD1	1
Tryptophan metabolism	ALDH2	1
Tryptophan metabolism	HAAO	1
Tryptophan metabolism	ALDH7A1	1
Tryptophan metabolism	ALDH8A1	1
Tryptophan metabolism	EHHADH	1
Tryptophan metabolism	ACAT2	1
Tryptophan metabolism	ECHS1	1
Tryptophan metabolism	CAT	1
Tryptophan metabolism	MAOB	1
Glycosaminoglycan degradation	GALNS	1
Glycosaminoglycan degradation	GLB1	1
Glycosaminoglycan degradation	HEXA	1
Glycosaminoglycan degradation	HPSE	1
Glycosaminoglycan degradation	GNS	1
Glycosaminoglycan degradation	NAGLU	1
Glycosphingolipid biosynthesis - lacto and neolacto series	B3GNT2	1
Glycosphingolipid biosynthesis - lacto and neolacto series	B4GALT2	1
Glycosphingolipid biosynthesis - lacto and neolacto series	B4GALT4	1
Glycosphingolipid biosynthesis - lacto and neolacto series	ST3GAL3	1
Glycosphingolipid biosynthesis - lacto and neolacto series	GCNT2	1
Other glycan degradation	GLB1	1
Other glycan degradation	FUCA1	1
Other glycan degradation	MAN2B2	1
Other glycan degradation	HEXA	1
Other glycan degradation	MANBA	1
Nicotinate and nicotinamide metabolism	NAMPT	1
Nicotinate and nicotinamide metabolism	NNMT	1
Nicotinate and nicotinamide metabolism	NT5E	1
Nicotinate and nicotinamide metabolism	SIRT2	1
Nicotinate and nicotinamide metabolism	SIRT7	1
Nicotinate and nicotinamide metabolism	AOX1	1
Nicotinate and nicotinamide metabolism	NMNAT1	1
Folate biosynthesis	CBR1	1
Folate biosynthesis	MOCS1	1
Folate biosynthesis	ALPL	1
Folate biosynthesis	SPR	1
Folate biosynthesis	QDPR	1
Folate biosynthesis	GCH1	1
Folate biosynthesis	PAH	1
Retinol metabolism	CYP2S1	1
Retinol metabolism	DHRS4L2	1
Retinol metabolism	HSD17B6	1
Retinol metabolism	ALDH1A1	1
Retinol metabolism	RDH10	1
Retinol metabolism	ADH5	1
Retinol metabolism	RDH13	1
Retinol metabolism	ADH6	1
Retinol metabolism	PNPLA4	1
Retinol metabolism	UGT2B4	1
Spliceosome	PRPF19	1
Spliceosome	PRPF3	1
Spliceosome	PRPF38A	1
Spliceosome	PRPF38B	1
Spliceosome	PRPF4	1
Spliceosome	THOC1	1
Spliceosome	THOC3	1
Spliceosome	DHX16	1
Spliceosome	SRSF1	1
Spliceosome	SRSF2	1
Spliceosome	SRSF3	1
Spliceosome	SRSF7	1
Spliceosome	SRSF9	1
Spliceosome	SNRNP70	1
Spliceosome	SNRPA	1
Spliceosome	SNRPA1	1
Spliceosome	SNRPD1	1
Spliceosome	SNRPG	1
Spliceosome	ACIN1	1
Spliceosome	SF3A2	1
Spliceosome	SF3B1	1
Spliceosome	SF3B2	1
Spliceosome	SF3B4	1
Spliceosome	USP39	1
Spliceosome	HNRNPA1L2	1
Spliceosome	HNRNPA3	1
Spliceosome	TCERG1	1
Spliceosome	RBM17	1
Spliceosome	HNRNPM	1
Spliceosome	HNRNPU	1
Spliceosome	MAGOH	1
Spliceosome	TRA2B	1
Spliceosome	NCBP2	1
Spliceosome	TXNL4A	1
Spliceosome	RBM8A	1
Spliceosome	RBMX	1
Spliceosome	DDX42	1
Spliceosome	U2AF2	1
Spliceosome	U2SURP	1
Spliceosome	BCAS2	1
Spliceosome	HSPA1L	1
Spliceosome	PHF5A	1
Spliceosome	ISY1	1
Spliceosome	CWC15	1
Spliceosome	DHX38	1
Spliceosome	PCBP1	1
Spliceosome	LSM2	1
Spliceosome	LSM4	1
Spliceosome	LSM7	1
Spliceosome	SNRPC	1
Spliceosome	SNRPD2	1
Spliceosome	SNRPE	1
Spliceosome	XAB2	1
Spliceosome	SF3B6	1
Spliceosome	MAGOHB	1
Spliceosome	PUF60	1
Spliceosome	HSPA2	1
Ribosome	RPLP2	1
Ribosome	RPS10	1
Ribosome	RPS12	1
Ribosome	RPS13	1
Ribosome	FAU	1
Ribosome	RPS26	1
Ribosome	RPS27A	1
Ribosome	MRPL11	1
Ribosome	MRPL12	1
Ribosome	MRPL13	1
Ribosome	MRPL14	1
Ribosome	MRPL16	1
Ribosome	MRPL2	1
Ribosome	MRPL20	1
Ribosome	MRPL21	1
Ribosome	MRPL24	1
Ribosome	MRPL33	1
Ribosome	MRPL36	1
Ribosome	MRPL4	1
Ribosome	MRPS14	1
Ribosome	MRPS16	1
Ribosome	MRPS21	1
Ribosome	UBA52	1
Ribosome	RPL27	1
Ribosome	RPL38	1
Ribosome	RPS11	1
Ribosome	RPS13	1
Ribosome	RPS15	1
Ribosome	RPS15A	1
Ribosome	RPS16	1
Ribosome	RPS17	1
Ribosome	RPS18	1
Ribosome	RPS19	1
Ribosome	RPS21	1
Ribosome	RPS24	1
Ribosome	RPS25	1
Ribosome	RPS27	1
Ribosome	RPS27A	1
Ribosome	RPS3	1
Ribosome	RPS3A	1
Ribosome	RPS4X	1
Ribosome	RPS5	1
Ribosome	RPS6	1
Ribosome	RPS7	1
Ribosome	RPS8	1
Ribosome	RPS9	1
Ribosome	RPSA	1
Ribosome	RSL24D1	1
Ribosome	MRPL10	1
Ribosome	MRPL32	1
Ribosome	MRPL34	1
Ribosome	MRPL9	1
Ribosome	MRPS10	1
Ribosome	MRPS18A	1
Ribosome	MRPS9	1
Ribosome	RPL10A	1
Ribosome	RPL11	1
Ribosome	RPL12	1
Ribosome	RPL13A	1
Ribosome	RPL14	1
Ribosome	RPL15	1
Ribosome	RPL17	1
Ribosome	RPL18A	1
Ribosome	RPL19	1
Ribosome	RPL21	1
Ribosome	RPL22L1	1
Ribosome	RPL23	1
Ribosome	RPL23A	1
Ribosome	RPL24	1
Ribosome	RPL26	1
Ribosome	RPL27	1
Ribosome	RPL27A	1
Ribosome	RPL29	1
Ribosome	RPL3	1
Ribosome	RPL31	1
Ribosome	RPL32	1
Ribosome	RPL34	1
Ribosome	RPL35	1
Ribosome	RPL35A	1
Ribosome	RPL36	1
Ribosome	RPL36A	1
Ribosome	RPL37	1
Ribosome	RPL37A	1
Ribosome	RPL39	1
Ribosome	RPL4	1
Ribosome	RPL41	1
Ribosome	RPL5	1
Ribosome	RPL6	1
Ribosome	RPL7A	1
Ribosome	RPL8	1
Ribosome	RPL9	1
Ribosome	RPLP0	1
Ribosome	RPLP1	1
Ribosome	RPS13	1
Ribosome	RPS14	1
Ribosome	RPS15A	1
Ribosome	RPS2	1
Ribosome	RPS23	1
Ribosome	RPS29	1
Ribosome	RPS3A	1
Ribosome	RPS8	1
Ribosome	RSL24D1	1
Ribosome	MRPL22	1
Ribosome	MRPL32	1
Ribosome	MRPS2	1
Ribosome	MRPS9	1
Ribosome	RPL10	1
Ribosome	RPL10A	1
Ribosome	RPL12	1
Ribosome	RPL13	1
Ribosome	RPL21	1
Ribosome	RPL22	1
Ribosome	RPL23	1
Ribosome	RPL24	1
Ribosome	RPL26	1
Ribosome	RPL34	1
Ribosome	RPL36A	1
Ribosome	RPL7	1
Ribosome	RPL7A	1
Ribosome	RPL9	1
Ribosome	RPLP0	1
RNA transport	RPP14	1
RNA transport	AAAS	1
RNA transport	RPP30	1
RNA transport	THOC1	1
RNA transport	THOC3	1
RNA transport	TRNT1	1
RNA transport	SEH1L	1
RNA transport	POM121C	1
RNA transport	NUP107	1
RNA transport	NUP133	1
RNA transport	NUP155	1
RNA transport	NUP160	1
RNA transport	NUP188	1
RNA transport	SENP2	1
RNA transport	NUP35	1
RNA transport	POP5	1
RNA transport	NUP37	1
RNA transport	NUP50	1
RNA transport	NUP85	1
RNA transport	TARDBP	1
RNA transport	NXF1	1
RNA transport	RAN	1
RNA transport	UPF2	1
RNA transport	UPF3A	1
RNA transport	CASC3	1
RNA transport	ACIN1	1
RNA transport	EIF2B1	1
RNA transport	EIF2B4	1
RNA transport	EIF2B5	1
RNA transport	XPO1	1
RNA transport	EIF4A2	1
RNA transport	GEMIN2	1
RNA transport	GEMIN5	1
RNA transport	TPR	1
RNA transport	ELAC1	1
RNA transport	MAGOH	1
RNA transport	NCBP2	1
RNA transport	DDX20	1
RNA transport	RBM8A	1
RNA transport	PABPC1L	1
RNA transport	SUMO2	1
RNA transport	SUMO3	1
RNA transport	PAIP1	1
RNA transport	PNN	1
RNA transport	TGS1	1
mRNA surveillance pathway	SMG5	1
mRNA surveillance pathway	SMG7	1
mRNA surveillance pathway	PPP2R5C	1
mRNA surveillance pathway	MAGOH	1
mRNA surveillance pathway	NCBP2	1
mRNA surveillance pathway	RBM8A	1
mRNA surveillance pathway	TARDBP	1
mRNA surveillance pathway	PABPC1L	1
mRNA surveillance pathway	NXF1	1
mRNA surveillance pathway	PABPN1	1
mRNA surveillance pathway	UPF2	1
mRNA surveillance pathway	UPF3A	1
mRNA surveillance pathway	CSTF1	1
mRNA surveillance pathway	CSTF2T	1
mRNA surveillance pathway	CSTF3	1
mRNA surveillance pathway	CASC3	1
mRNA surveillance pathway	PNN	1
mRNA surveillance pathway	DAZAP1	1
mRNA surveillance pathway	ACIN1	1
mRNA surveillance pathway	PPP1CC	1
mRNA surveillance pathway	SYMPK	1
mRNA surveillance pathway	HBS1L	1
mRNA surveillance pathway	CPSF1	1
mRNA surveillance pathway	CPSF4	1
mRNA surveillance pathway	CPSF6	1
mRNA surveillance pathway	CPSF7	1
Ribosome biogenesis in eukaryotes	RPP30	1
Ribosome biogenesis in eukaryotes	NOL6	1
Ribosome biogenesis in eukaryotes	NAT10	1
Ribosome biogenesis in eukaryotes	GNL3	1
Ribosome biogenesis in eukaryotes	NOP56	1
Ribosome biogenesis in eukaryotes	UTP18	1
Ribosome biogenesis in eukaryotes	UTP6	1
Ribosome biogenesis in eukaryotes	MPHOSPH10	1
Ribosome biogenesis in eukaryotes	POP5	1
Ribosome biogenesis in eukaryotes	DROSHA	1
Ribosome biogenesis in eukaryotes	NVL	1
Ribosome biogenesis in eukaryotes	NXF1	1
Ribosome biogenesis in eukaryotes	MDN1	1
Ribosome biogenesis in eukaryotes	RAN	1
Ribosome biogenesis in eukaryotes	XPO1	1
Ribosome biogenesis in eukaryotes	REXO1	1
Ribosome biogenesis in eukaryotes	TBL3	1
Protein export	SRPRB	1
Protein export	SPCS1	1
Protein export	SPCS2	1
Protein export	SEC11A	1
Protein export	OXA1L	1
Protein export	IMMP1L	1
Protein export	SRP14	1
Protein export	SEC61G	1
Proteasome	PSMB1	1
Proteasome	PSMB3	1
Proteasome	PSMB4	1
Proteasome	PSMB5	1
Proteasome	PSMB6	1
Proteasome	PSMC1	1
Proteasome	PSMC3	1
Proteasome	PSMD4	1
Proteasome	PSME1	1
Proteasome	PSME2	1
Proteasome	ADRM1	1
Proteasome	PSMA1	1
Proteasome	PSMA2	1
Proteasome	PSMA3	1
Proteasome	PSMA4	1
DNA replication	RFC4	1
DNA replication	RFC5	1
DNA replication	RPA2	1
DNA replication	PCNA	1
DNA replication	DNA2	1
DNA replication	PRIM1	1
DNA replication	PRIM2	1
DNA replication	LIG1	1
DNA replication	FEN1	1
DNA replication	MCM2	1
DNA replication	MCM3	1
DNA replication	MCM4	1
DNA replication	MCM5	1
DNA replication	MCM6	1
DNA replication	MCM7	1
DNA replication	POLA2	1
DNA replication	RFC1	1
DNA replication	POLD1	1
DNA replication	RFC3	1
Base excision repair	XRCC1	1
Base excision repair	PCNA	1
Base excision repair	UNG	1
Base excision repair	NEIL1	1
Base excision repair	PARP2	1
Base excision repair	APEX1	1
Base excision repair	MBD4	1
Base excision repair	LIG1	1
Base excision repair	FEN1	1
Base excision repair	TDG	1
Base excision repair	SMUG1	1
Base excision repair	MPG	1
Base excision repair	HMGB1	1
Base excision repair	POLB	1
Base excision repair	POLD1	1
Nucleotide excision repair	RFC4	1
Nucleotide excision repair	RFC5	1
Nucleotide excision repair	RPA2	1
Nucleotide excision repair	PCNA	1
Nucleotide excision repair	CUL4A	1
Nucleotide excision repair	ERCC5	1
Nucleotide excision repair	LIG1	1
Nucleotide excision repair	RAD23B	1
Nucleotide excision repair	GTF2H1	1
Nucleotide excision repair	GTF2H3	1
Nucleotide excision repair	GTF2H4	1
Nucleotide excision repair	RFC1	1
Nucleotide excision repair	POLD1	1
Nucleotide excision repair	RFC3	1
Mismatch repair	RFC4	1
Mismatch repair	RFC5	1
Mismatch repair	RPA2	1
Mismatch repair	EXO1	1
Mismatch repair	PCNA	1
Mismatch repair	LIG1	1
Mismatch repair	MSH2	1
Mismatch repair	MLH1	1
Mismatch repair	MSH6	1
Mismatch repair	RFC1	1
Mismatch repair	POLD1	1
Mismatch repair	RFC3	1
Homologous recombination	RPA2	1
Homologous recombination	XRCC3	1
Homologous recombination	BLM	1
Homologous recombination	EME1	1
Homologous recombination	BARD1	1
Homologous recombination	BRCA1	1
Homologous recombination	TOP3A	1
Homologous recombination	TOPBP1	1
Homologous recombination	RAD52	1
Homologous recombination	RAD54B	1
Homologous recombination	POLD1	1
Fanconi anemia pathway	RPA2	1
Fanconi anemia pathway	FANCD2	1
Fanconi anemia pathway	BLM	1
Fanconi anemia pathway	FANCG	1
Fanconi anemia pathway	EME1	1
Fanconi anemia pathway	FANCI	1
Fanconi anemia pathway	FANCL	1
Fanconi anemia pathway	RMI1	1
Fanconi anemia pathway	RMI2	1
Fanconi anemia pathway	BRCA1	1
Fanconi anemia pathway	TOP3A	1
Fanconi anemia pathway	MLH1	1
Fanconi anemia pathway	UBE2T	1
Fanconi anemia pathway	WDR48	1
Rap1 signaling pathway	PARD6B	1
Rap1 signaling pathway	ITGB1	1
Rap1 signaling pathway	RGS14	1
Rap1 signaling pathway	RALB	1
Rap1 signaling pathway	PIK3CA	1
Rap1 signaling pathway	AKT3	1
Rap1 signaling pathway	IGF1R	1
Rap1 signaling pathway	RAP1B	1
Rap1 signaling pathway	RAP1GAP	1
Rap1 signaling pathway	RAPGEF5	1
Rap1 signaling pathway	PDGFC	1
Rap1 signaling pathway	PDGFD	1
Rap1 signaling pathway	CDH1	1
Rap1 signaling pathway	RASGRP3	1
Rap1 signaling pathway	RASSF5	1
Rap1 signaling pathway	PLCB2	1
Rap1 signaling pathway	CRK	1
Rap1 signaling pathway	ANGPT2	1
Rap1 signaling pathway	VAV1	1
Rap1 signaling pathway	INSR	1
Rap1 signaling pathway	BCAR1	1
Rap1 signaling pathway	MAP2K1	1
Rap1 signaling pathway	MAP2K6	1
Rap1 signaling pathway	ADCY5	1
Rap1 signaling pathway	ADCY9	1
Rap1 signaling pathway	PRKCA	1
Rap1 signaling pathway	PRKCB	1
Rap1 signaling pathway	SIPA1L2	1
Rap1 signaling pathway	PRKCZ	1
Rap1 signaling pathway	KIT	1
Rap1 signaling pathway	PRKD1	1
Rap1 signaling pathway	CTNND1	1
Rap1 signaling pathway	LPAR2	1
Rap1 signaling pathway	GNAI3	1
HIF-1 signaling pathway	MTOR	1
HIF-1 signaling pathway	ERBB2	1
HIF-1 signaling pathway	ANGPT2	1
HIF-1 signaling pathway	NFKB1	1
HIF-1 signaling pathway	INSR	1
HIF-1 signaling pathway	PIK3CA	1
HIF-1 signaling pathway	MAP2K1	1
HIF-1 signaling pathway	HIF1A	1
HIF-1 signaling pathway	PFKFB3	1
HIF-1 signaling pathway	PFKP	1
HIF-1 signaling pathway	AKT3	1
HIF-1 signaling pathway	IGF1R	1
HIF-1 signaling pathway	TF	1
HIF-1 signaling pathway	EGLN1	1
HIF-1 signaling pathway	EGLN3	1
HIF-1 signaling pathway	PRKCA	1
HIF-1 signaling pathway	PRKCB	1
HIF-1 signaling pathway	ALDOB	1
HIF-1 signaling pathway	MKNK1	1
HIF-1 signaling pathway	SLC2A1	1
HIF-1 signaling pathway	PDHA1	1
Calcium signaling pathway	PHKA1	1
Calcium signaling pathway	CACNA1H	1
Calcium signaling pathway	ITPKB	1
Calcium signaling pathway	EDNRA	1
Calcium signaling pathway	ATP2A3	1
Calcium signaling pathway	CYSLTR1	1
Calcium signaling pathway	PDGFA	1
Calcium signaling pathway	PDGFRB	1
Calcium signaling pathway	F2R	1
Calcium signaling pathway	PPP3CC	1
Calcium signaling pathway	KDR	1
Calcium signaling pathway	FLT4	1
Calcium signaling pathway	P2RX7	1
Calcium signaling pathway	VEGFC	1
Calcium signaling pathway	ADCY3	1
Calcium signaling pathway	ADCY4	1
Calcium signaling pathway	ADRB2	1
Calcium signaling pathway	HTR2B	1
cAMP signaling pathway	ABCC4	1
cAMP signaling pathway	RAC3	1
cAMP signaling pathway	NFATC1	1
cAMP signaling pathway	GABBR1	1
cAMP signaling pathway	EDNRA	1
cAMP signaling pathway	ATP2A3	1
cAMP signaling pathway	MYL9	1
cAMP signaling pathway	ARAP3	1
cAMP signaling pathway	JUN	1
cAMP signaling pathway	F2R	1
cAMP signaling pathway	CREB3L4	1
cAMP signaling pathway	NPR1	1
cAMP signaling pathway	ADCY3	1
cAMP signaling pathway	ADCY4	1
cAMP signaling pathway	CNGA1	1
cAMP signaling pathway	ADRB2	1
cGMP-PKG signaling pathway	NFATC1	1
cGMP-PKG signaling pathway	EDNRA	1
cGMP-PKG signaling pathway	ATP2A3	1
cGMP-PKG signaling pathway	MYL9	1
cGMP-PKG signaling pathway	PDE2A	1
cGMP-PKG signaling pathway	MEF2C	1
cGMP-PKG signaling pathway	CREB3L4	1
cGMP-PKG signaling pathway	PPP3CC	1
cGMP-PKG signaling pathway	NPR1	1
cGMP-PKG signaling pathway	ADCY3	1
cGMP-PKG signaling pathway	ADCY4	1
cGMP-PKG signaling pathway	CNGA1	1
cGMP-PKG signaling pathway	ADRB2	1
cGMP-PKG signaling pathway	PRKG1	1
PI3K-Akt signaling pathway	THBS3	1
PI3K-Akt signaling pathway	ITGA3	1
PI3K-Akt signaling pathway	ITGA4	1
PI3K-Akt signaling pathway	ITGA5	1
PI3K-Akt signaling pathway	ITGA8	1
PI3K-Akt signaling pathway	ITGAV	1
PI3K-Akt signaling pathway	ERBB2	1
PI3K-Akt signaling pathway	ITGB1	1
PI3K-Akt signaling pathway	ITGB4	1
PI3K-Akt signaling pathway	NFKB1	1
PI3K-Akt signaling pathway	JAK1	1
PI3K-Akt signaling pathway	PCK2	1
PI3K-Akt signaling pathway	PDGFC	1
PI3K-Akt signaling pathway	PDGFD	1
PI3K-Akt signaling pathway	RXRA	1
PI3K-Akt signaling pathway	CREB3	1
PI3K-Akt signaling pathway	CREB5	1
PI3K-Akt signaling pathway	PPP2CB	1
PI3K-Akt signaling pathway	PPP2R5B	1
PI3K-Akt signaling pathway	PPP2R5E	1
PI3K-Akt signaling pathway	YWHAB	1
PI3K-Akt signaling pathway	MAP2K1	1
PI3K-Akt signaling pathway	PRKCA	1
PI3K-Akt signaling pathway	KIT	1
PI3K-Akt signaling pathway	GNB1	1
PI3K-Akt signaling pathway	MTOR	1
PI3K-Akt signaling pathway	GNB4	1
PI3K-Akt signaling pathway	GNG2	1
PI3K-Akt signaling pathway	PHLPP2	1
PI3K-Akt signaling pathway	MCL1	1
PI3K-Akt signaling pathway	TNC	1
PI3K-Akt signaling pathway	IFNAR2	1
PI3K-Akt signaling pathway	PIK3CA	1
PI3K-Akt signaling pathway	LAMA3	1
PI3K-Akt signaling pathway	AKT3	1
PI3K-Akt signaling pathway	IGF1R	1
PI3K-Akt signaling pathway	LAMA5	1
PI3K-Akt signaling pathway	LAMB2	1
PI3K-Akt signaling pathway	CASP9	1
PI3K-Akt signaling pathway	IL2RB	1
PI3K-Akt signaling pathway	SGK2	1
PI3K-Akt signaling pathway	SOS2	1
PI3K-Akt signaling pathway	GSK3B	1
PI3K-Akt signaling pathway	ANGPT2	1
PI3K-Akt signaling pathway	INSR	1
PI3K-Akt signaling pathway	TGFA	1
PI3K-Akt signaling pathway	LPAR2	1
PI3K-Akt signaling pathway	CCND3	1
PI3K-Akt signaling pathway	THBS2	1
PI3K-Akt signaling pathway	ITGA11	1
PI3K-Akt signaling pathway	COL1A1	1
PI3K-Akt signaling pathway	COL1A2	1
PI3K-Akt signaling pathway	COL4A1	1
PI3K-Akt signaling pathway	COL4A2	1
PI3K-Akt signaling pathway	COL6A1	1
PI3K-Akt signaling pathway	COL6A2	1
PI3K-Akt signaling pathway	COL6A3	1
PI3K-Akt signaling pathway	JAK3	1
PI3K-Akt signaling pathway	PDGFA	1
PI3K-Akt signaling pathway	PDGFRB	1
PI3K-Akt signaling pathway	F2R	1
PI3K-Akt signaling pathway	CREB3L4	1
PI3K-Akt signaling pathway	PPP2R1B	1
PI3K-Akt signaling pathway	PPP2R2A	1
PI3K-Akt signaling pathway	KDR	1
PI3K-Akt signaling pathway	LAMA2	1
PI3K-Akt signaling pathway	LAMA4	1
PI3K-Akt signaling pathway	IL3RA	1
PI3K-Akt signaling pathway	IL7R	1
PI3K-Akt signaling pathway	SGK1	1
PI3K-Akt signaling pathway	SGK3	1
PI3K-Akt signaling pathway	FLT3LG	1
PI3K-Akt signaling pathway	FLT4	1
PI3K-Akt signaling pathway	VEGFC	1
PI3K-Akt signaling pathway	FOXO3	1
PI3K-Akt signaling pathway	CCND2	1
PI3K-Akt signaling pathway	LPAR6	1
Neuroactive ligand-receptor interaction	PTGIR	1
Neuroactive ligand-receptor interaction	F2R	1
Neuroactive ligand-receptor interaction	S1PR5	1
Neuroactive ligand-receptor interaction	APLNR	1
Neuroactive ligand-receptor interaction	GABBR1	1
Neuroactive ligand-receptor interaction	EDNRA	1
Neuroactive ligand-receptor interaction	P2RX7	1
Neuroactive ligand-receptor interaction	CYSLTR1	1
Neuroactive ligand-receptor interaction	ADRB2	1
Neuroactive ligand-receptor interaction	LPAR6	1
Neuroactive ligand-receptor interaction	HTR2B	1
Neuroactive ligand-receptor interaction	S1PR3	1
Neuroactive ligand-receptor interaction	AGT	1
Neuroactive ligand-receptor interaction	P2RY6	1
Neuroactive ligand-receptor interaction	C3AR1	1
Neuroactive ligand-receptor interaction	ADM	1
Neuroactive ligand-receptor interaction	ADORA3	1
Neuroactive ligand-receptor interaction	ADRA2B	1
Neuroactive ligand-receptor interaction	C5AR1	1
Neuroactive ligand-receptor interaction	FPR3	1
Neuroactive ligand-receptor interaction	PTAFR	1
Cytokine-cytokine receptor interaction	CCR1	1
